"","Common.Name","Specific.Epithet","Guild","Foraging.Type","Prey","Remarks"
"1","Jungle Crow","Corvus macrorhynchos","Omnivore","Scavenger","Carrion",""
"2","Jungle Crow","Corvus macrorhynchos","Omnivore","Scavenger","Bird Eggs",""
"3","Jungle Crow","Corvus macrorhynchos","Omnivore","Scavenger","Rodents",""
"4","Jungle Crow","Corvus macrorhynchos","Omnivore","Scavenger","Small Reptiles",""
"5","Jungle Crow","Corvus macrorhynchos","Omnivore","Scavenger","Anurans",""
"6","Jungle Crow","Corvus macrorhynchos","Omnivore","Scavenger","Crustaeceans",""
"7","Jungle Crow","Corvus macrorhynchos","Omnivore","Scavenger","Fruits",""
"8","Jungle Crow","Corvus macrorhynchos","Omnivore","Scavenger","Seeds",""
"9","Black Drongo","Dicrurus macrocercus","Insectivore","Active","Insects",""
"10","Black Drongo","Dicrurus macrocercus","Insectivore","Active","Small Reptiles",""
"11","Black Drongo","Dicrurus macrocercus","Insectivore","Active"," Nectar",""
"12","Baya Weaver Bird","Ploceus philippinus","Grainivore","Grazer","Seeds",""
"13","Baya Weaver Bird","Ploceus philippinus","Grainivore","Grazer","Nectar",""
"14","Pied Kingfisher","Ceryle rudis","Carnivore","Active","Fish"," "
"15","Pied Kingfisher","Ceryle rudis","Carnivore","Active","Insects"," "
"16","White Breasted Kingfisher","Halcyon smyrnensis","Carnivore","Active","Insects",""
"17","White Breasted Kingfisher","Halcyon smyrnensis","Carnivore","Active","Arthropds",""
"18","White Breasted Kingfisher","Halcyon smyrnensis","Carnivore","Active","Molluscs",""
"19","White Breasted Kingfisher","Halcyon smyrnensis","Carnivore","Active","Crustaeceans",""
"20","White Breasted Kingfisher","Halcyon smyrnensis","Carnivore","Active","Fish",""
"21","White Breasted Kingfisher","Halcyon smyrnensis","Carnivore","Active","Anurans",""
"22","White Breasted Kingfisher","Halcyon smyrnensis","Carnivore","Active","Small Reptiles",""
"23","White Breasted Kingfisher","Halcyon smyrnensis","Carnivore","Active","Birds",""
"24","White Breasted Kingfisher","Halcyon smyrnensis","Carnivore","Active","Rodents",""
"25","Storkbilled Kingfisher","Pelargopsis capensis","Carnivore","Active","Fish",""
"26","Storkbilled Kingfisher","Pelargopsis capensis","Carnivore","Active"," Insects",""
"27","Storkbilled Kingfisher","Pelargopsis capensis","Carnivore","Active"," Crustaeceans",""
"28","Storkbilled Kingfisher","Pelargopsis capensis","Carnivore","Active","Anurans",""
"29","Storkbilled Kingfisher","Pelargopsis capensis","Carnivore","Active","Small Rodents",""
"30","Storkbilled Kingfisher","Pelargopsis capensis","Carnivore","Active","Birds",""
"31","Cattle Egret","Bubulcus ibis","Carnivore","Active","Insects",""
"32","Cattle Egret","Bubulcus ibis","Carnivore","Active","Spiders",""
"33","Cattle Egret","Bubulcus ibis","Carnivore","Active","Anurans",""
"34","Common Iora","Aegithina tiphia","Insectivore","Active","Insects",""
"35","Common Iora","Aegithina tiphia","Insectivore","Active","Arthropods",""
"36","Red Vented Bulbul","Pycnonotus cafer","Frugivore","Browser","Fruits",""
"37","Red Vented Bulbul","Pycnonotus cafer","Frugivore","Browser","Nectar",""
"38","Red Whiskered Bulbul","Pycnonotus jocosus","Frugivore","Browser","Fruits",""
"39","Red Whiskered Bulbul","Pycnonotus jocosus","Frugivore","Browser","Nectar",""
"40","Indian Robin","Copsychus fulicatus","Insectivore","Active","Insects",""
"41","Indian Robin","Copsychus fulicatus","Insectivore","Active","Spiders",""
"42","Turtle Dove","Streptopelia orientalis","Grainivore","Grazer","Seeds",""
"43","Turtle Dove","Streptopelia orientalis","Grainivore","Grazer","Herbs",""
"44","White Wagtail","Motacilla alba","Insectivore","Active","Insects",""
"45","White Rumped Vulture","Gyps bengalensis","Carnivore","Scavenger","Carrion",""
"46","Crested Serpent Eagle","Spilornis cheela","Carnivore","Active","Reptiles","Mainly reptiles"
"47","Crested Serpent Eagle","Spilornis cheela","Carnivore","Active"," Mammals","Mainly reptiles"
"48","Crested Serpent Eagle","Spilornis cheela","Carnivore","Active"," Crustaeceans","Mainly reptiles"
"49","Crested Serpent Eagle","Spilornis cheela","Carnivore","Active"," Fish","Mainly reptiles"
"50","Crested Serpent Eagle","Spilornis cheela","Carnivore","Active"," Anurans","Mainly reptiles"
"51","Crested Serpent Eagle","Spilornis cheela","Carnivore","Active","Birds","Mainly reptiles"
"52","Purple Moorhen","Porphyrio porphyrio","Omnivore","Active","Aquatic Plants","Primarily Vegetarian"
"53","Purple Moorhen","Porphyrio porphyrio","Omnivore","Active","Molluscs","Primarily Vegetarian"
"54","Purple Moorhen","Porphyrio porphyrio","Omnivore","Active"," Annelids","Primarily Vegetarian"
"55","Purple Moorhen","Porphyrio porphyrio","Omnivore","Active"," Crustaeceans","Primarily Vegetarian"
"56","Purple Moorhen","Porphyrio porphyrio","Omnivore","Active"," Insects","Primarily Vegetarian"
"57","Purple Moorhen","Porphyrio porphyrio","Omnivore","Active","Spiders","Primarily Vegetarian"
"58","Purple Moorhen","Porphyrio porphyrio","Omnivore","Active","Fish","Primarily Vegetarian"
"59","Purple Moorhen","Porphyrio porphyrio","Omnivore","Active","Fish eggs","Primarily Vegetarian"
"60","Purple Moorhen","Porphyrio porphyrio","Omnivore","Active","Anurans","Primarily Vegetarian"
"61","Purple Moorhen","Porphyrio porphyrio","Omnivore","Active","Rodents","Primarily Vegetarian"
"62","Purple Moorhen","Porphyrio porphyrio","Omnivore","Active","Carrion 
","Primarily Vegetarian"
"63","Painted Francolin","Francolinus pictus","Grainivore","Grazer","Seeds",""
"64","Painted Francolin","Francolinus pictus","Grainivore","Grazer"," Insects",""
"65","Spotted Dove","Streptopelia chinensis","Grainivore","Grazer","Seeds",""
"66","Spotted Dove","Streptopelia chinensis","Grainivore","Grazer","Fruits",""
"67","Long Tailed Shrike","Lanius schach","Carnivore","Active","Insects",""
"68","Long Tailed Shrike","Lanius schach","Carnivore","Active","Small Mammals",""
"69","Long Tailed Shrike","Lanius schach","Carnivore","Active","Small Reptiles",""
"70","Long Tailed Shrike","Lanius schach","Carnivore","Active","Anurans",""
"71","Long Tailed Shrike","Lanius schach","Carnivore","Active","Crustaeceans",""
"72","Long Tailed Shrike","Lanius schach","Carnivore","Active","Birds
",""
"73","Jungle Babler","Turdoides striata","Omnivore","Active","Insects",""
"74","Jungle Babler","Turdoides striata","Omnivore","Active","Spiders",""
"75","Jungle Babler","Turdoides striata","Omnivore","Active","Anurans",""
"76","Jungle Babler","Turdoides striata","Omnivore","Active","Seeds",""
"77","Jungle Babler","Turdoides striata","Omnivore","Active","Fruits",""
"78","Jungle Babler","Turdoides striata","Omnivore","Active","Nectar
",""
"79","Brown Headed Barbet","Psilopogon zeylanicus","Frugivore","Grazer","Fruits",""
"80","Brown Headed Barbet","Psilopogon zeylanicus","Frugivore","Grazer","Nectar",""
"81","Brown Headed Barbet","Psilopogon zeylanicus","Frugivore","Grazer","Insects
",""
"82","House Crow","Corvus splendens","Omnivore","Scavenger","Carrion",""
"83","House Crow","Corvus splendens","Omnivore","Scavenger","Bird Eggs",""
"84","House Crow","Corvus splendens","Omnivore","Scavenger","Rodents",""
"85","House Crow","Corvus splendens","Omnivore","Scavenger","Small Reptiles",""
"86","House Crow","Corvus splendens","Omnivore","Scavenger","Anurans",""
"87","House Crow","Corvus splendens","Omnivore","Scavenger","Crustaeceans",""
"88","House Crow","Corvus splendens","Omnivore","Scavenger","Insects",""
"89","House Crow","Corvus splendens","Omnivore","Scavenger","Fruits",""
"90","House Crow","Corvus splendens","Omnivore","Scavenger","Seeds",""
"91","House Crow","Corvus splendens","Omnivore","Scavenger","Plants
",""
"92","Quaker Babler","Alcippe poioicephala","Insectivore","Active","Insects",""
"93","Quaker Babler","Alcippe poioicephala","Insectivore","Active","Nectar",""
"94","Purple Sunbird","Cinnyris asiaticus","Omnivore","Active","Insects",""
"95","Purple Sunbird","Cinnyris asiaticus","Omnivore","Active","Spiders",""
"96","Purple Sunbird","Cinnyris asiaticus","Omnivore","Active","Nectar",""
"97","Purple Sunbird","Cinnyris asiaticus","Omnivore","Active","Fruits
",""
"98","Green Bee Eater","Merops orientalis","Insectivore","Active","Insects","Mainly hymenoptera"
"99","Green Bee Eater","Merops orientalis","Insectivore","Active","Spiders","Mainly hymenoptera"
"100","Pallid Harrier","Circus macrourus","Carnivore","Active","Small mammals",""
"101","Pallid Harrier","Circus macrourus","Carnivore","Active","Birds",""
"102","Pallid Harrier","Circus macrourus","Carnivore","Active","Insects
",""
"103","Grey Jungle Fowl","Gallus sonneratii","Omnivore","Active","Seeds",""
"104","Grey Jungle Fowl","Gallus sonneratii","Omnivore","Active","Plants",""
"105","Grey Jungle Fowl","Gallus sonneratii","Omnivore","Active","Fruits",""
"106","Grey Jungle Fowl","Gallus sonneratii","Omnivore","Active","Insects",""
"107","Grey Jungle Fowl","Gallus sonneratii","Omnivore","Active","Small reptiles
",""
"108","Indian Blackbird","Turdus simillimus","Omnivore","Active","Insects",""
"109","Indian Blackbird","Turdus simillimus","Omnivore","Active","Fruits",""
"110","Shikra","Accipiter badius","Carnivore","Active","Small reptiles",""
"111","Shikra","Accipiter badius","Carnivore","Active","Birds",""
"112","Shikra","Accipiter badius","Carnivore","Active","Small mammals",""
"113","Shikra","Accipiter badius","Carnivore","Active","Anurans",""
"114","Shikra","Accipiter badius","Carnivore","Active","Insects",""
"115","Shikra","Accipiter badius","Carnivore","Active","Carrion
",""
"116","Grey Breasted Prinia","Prinia hodgsonii","Insectivore","Active","Insects",""
"117","Ashy Wren Warbler","Prinia socialis","Insectivore","Active","Insects",""
"118","Ashy Wren Warbler","Prinia socialis","Insectivore","Active","Spiders",""
"119","Roseringed Parakeet","Psittacula krameri","Frugivore","Browser","Fruits",""
"120","Roseringed Parakeet","Psittacula krameri","Frugivore","Browser","Seeds",""
"121","Roseringed Parakeet","Psittacula krameri","Frugivore","Browser","Nectar",""
"122","Roseringed Parakeet","Psittacula krameri","Frugivore","Browser","Plants
",""
"123","Pale Billed Flowepecker","Dicaeum erythrorhynchos","Frugivore","Browser","Fruits",""
"124","Pale Billed Flowepecker","Dicaeum erythrorhynchos","Frugivore","Browser","Nectar",""
"125","Pale Billed Flowepecker","Dicaeum erythrorhynchos","Frugivore","Browser","Spiders",""
"126","Pale Billed Flowepecker","Dicaeum erythrorhynchos","Frugivore","Browser","Insects
",""
"127","Pied Bushchat","Saxicola caprata","Insectivore","Active","Insects",""
"128","Pied Bushchat","Saxicola caprata","Insectivore","Active","Annelids",""
"129","Laughing Dove","Streptopelia senegalensis","Grainivore","Grazer","Seeds",""
"130","Laughing Dove","Streptopelia senegalensis","Grainivore","Grazer","Fruits",""
"131","Laughing Dove","Streptopelia senegalensis","Grainivore","Grazer","Nectar",""
"132","Laughing Dove","Streptopelia senegalensis","Grainivore","Grazer","Insects
",""
"133","Grey Wagtail","Motacilla cinerea","Insectivore","Active","Insects","Primarily insects"
"134","Grey Wagtail","Motacilla cinerea","Insectivore","Active","Crustaeceans","Primarily insects"
"135","Grey Wagtail","Motacilla cinerea","Insectivore","Active","Mollusca","Primarily insects"
"136","Grey Wagtail","Motacilla cinerea","Insectivore","Active","Spiders","Primarily insects"
"137","Yellow Wagtail","Motacilla flava","Insectivore","Active","Insects","Terrestrial and aquatic invertebrates"
"138","Yellow Wagtail","Motacilla flava","Insectivore","Active","Crustaeceans","Terrestrial and aquatic invertebrates"
"139","Yellow Wagtail","Motacilla flava","Insectivore","Active","Seeds","Terrestrial and aquatic invertebrates"
"140","Red Wattled Lapwing","Vanellus indicus","Insectivore","Active","Insects",""
"141","Red Wattled Lapwing","Vanellus indicus","Insectivore","Active","Worms",""
"142","Red Wattled Lapwing","Vanellus indicus","Insectivore","Active","Crustaeceans",""
"143","Red Wattled Lapwing","Vanellus indicus","Insectivore","Active","Molluscs",""
"144","White Cheeked Barbet","Psilopogon viridis","Frugivore","Browser","Fruits",""
"145","White Cheeked Barbet","Psilopogon viridis","Frugivore","Browser","Nectar",""
"146","White Cheeked Barbet","Psilopogon viridis","Frugivore","Browser","Insects",""
"147","White Cheeked Barbet","Psilopogon viridis","Frugivore","Browser","Worms",""
"148","White Cheeked Barbet","Psilopogon viridis","Frugivore","Browser","Spiders",""
"149","Indian Scimitar Babler","Pomatorhinus horsfieldii","Omnivore","Active","Insects",""
"150","Indian Scimitar Babler","Pomatorhinus horsfieldii","Omnivore","Active","Spiders",""
"151","Indian Scimitar Babler","Pomatorhinus horsfieldii","Omnivore","Active","Fruits",""
"152","Indian Scimitar Babler","Pomatorhinus horsfieldii","Omnivore","Active","Nectar",""
"153","Blyth's Reed Warbler","Acrocephalus dumetorum","Insectivore","Active","Insects",""
"154","Scarlet Minivet","Pericrocotus speciosus","Insectivore","Active","Insects",""
"155","Scarlet Minivet","Pericrocotus speciosus","Insectivore","Active","Spiders",""
"156","Malabar Crested lark","Galerida malabarica","","Active","Insects",""
"157","Malabar Crested lark","Galerida malabarica","","Active","Seeds",""
"158","Common Kingfisher","Alcedo atthis","Carnivore","Active","Fish",""
"159","Common Kingfisher","Alcedo atthis","Carnivore","Active","Insects",""
"160","Koel","Eudynamys scolopaceus","Frugivore","Browser","Fruits",""
"161","Koel","Eudynamys scolopaceus","Frugivore","Browser","Nectar",""
"162","Robin, Magpie","Copsychus saularis","Insectivore","Active","Insects",""
"163","Robin, Magpie","Copsychus saularis","Insectivore","Active","Worms",""
"164","Robin, Magpie","Copsychus saularis","Insectivore","Active","Molluscs",""
"165","Robin, Magpie","Copsychus saularis","Insectivore","Active","Arthopods",""
"166","Robin, Magpie","Copsychus saularis","Insectivore","Active","Crustaeceans",""
"167","Robin, Magpie","Copsychus saularis","Insectivore","Active","Spiders",""
"168","Robin, Magpie","Copsychus saularis","Insectivore","Active","Small reptiles",""
"169","Purple Rumped Sunbird","Leptocoma zeylonica","Insectivore","Active","Insects",""
"170","Purple Rumped Sunbird","Leptocoma zeylonica","Insectivore","Active","Spiders",""
"171","Purple Rumped Sunbird","Leptocoma zeylonica","Insectivore","Active","Nectar",""
"172","Purple Rumped Sunbird","Leptocoma zeylonica","Insectivore","Active","Fruits",""
"173","Forest Wagtail","Dendronanthus indicus","Insectivore","Active","Insects",""
"174","Forest Wagtail","Dendronanthus indicus","Insectivore","Active","Spiders",""
"175","Forest Wagtail","Dendronanthus indicus","Insectivore","Active","Moluscs",""
"176","Forest Wagtail","Dendronanthus indicus","Insectivore","Active","Worms",""
"177","Asian Paradise Flycatcher","Terpsiphone paradis","Insectivore","Active","Insects",""
"178","Asian Paradise Flycatcher","Terpsiphone paradis","Insectivore","Active","Spiders",""
"179","Yellow Browed Bulbul","Iole indica","Omnivore","Active","Fruits",""
"180","Yellow Browed Bulbul","Iole indica","Omnivore","Active","Seeds",""
"181","Yellow Browed Bulbul","Iole indica","Omnivore","Active","Insects",""
"182","Yellow Browed Bulbul","Iole indica","Omnivore","Active","Spiders",""
"183","Common Myna","Acridotheres tristis","Insectivore","Active","Insects",""
"184","House Swift","Apus nipalensis","Insectivore","Active","Insects",""
"185","Pond Heron","Ardeola grayii","Carnivore","Active","Fish",""
"186","Pond Heron","Ardeola grayii","Carnivore","Active","Anurans",""
"187","Pond Heron","Ardeola grayii","Carnivore","Active","Crustaeceans",""
"188","Pond Heron","Ardeola grayii","Carnivore","Active","Worms",""
"189","Pond Heron","Ardeola grayii","Carnivore","Active","Insects",""
"190","Pond Heron","Ardeola grayii","Carnivore","Active","Small reptiles",""
"191","Alpine Swift","Apus melba","Insectivore","Active","Insects",""
"192","Alpine Swift","Apus melba","Insectivore","Active","Spiders",""
"193","Black Naped Oriole","Oriolus chinensis","Omnivore","Active","Fruits","Bird nestlings"
"194","Black Naped Oriole","Oriolus chinensis","Omnivore","Active","Insects","Bird nestlings"
"195","Black Naped Oriole","Oriolus chinensis","Omnivore","Active","Small vertebrates","Bird nestlings"
"196","Asian Fairy Bluebird","Irena puella","Frugivore","Browser","Fruits",""
"197","Asian Fairy Bluebird","Irena puella","Frugivore","Browser","Nectar",""
"198","Asian Fairy Bluebird","Irena puella","Frugivore","Browser","Insects",""
"199","Rufous Bellied Babler","Dumetia hyperythra","Insectivore","Active","Insects",""
"200","Rufous Bellied Babler","Dumetia hyperythra","Insectivore","Active","Nectar",""
"201","Blue Rock Pidgeon","Columba livia","Grainivore","Active","Seed",""
"202","Blue Rock Pidgeon","Columba livia","Grainivore","Active","Fruits",""
"203","Common Tailorbird","Orthotomus sutorius","Insectivore","Active","Insects",""
"204","Common Tailorbird","Orthotomus sutorius","Insectivore","Active","Nectar",""
"205","Scaly Breasted Munia","Lonchura punctulata","Grainivore","Grazer","Seeds",""
"206","Scaly Breasted Munia","Lonchura punctulata","Grainivore","Grazer","Plants",""
"207","Scaly Breasted Munia","Lonchura punctulata","Grainivore","Grazer","Insects",""
"208","Plum Headed Parakeet","Psittacula cyanocephala","Frugivore","Browser","Fruits",""
"209","Plum Headed Parakeet","Psittacula cyanocephala","Frugivore","Browser","Seeds",""
"210","Plum Headed Parakeet","Psittacula cyanocephala","Frugivore","Browser","Nectar",""
"211","Southern Coucal","Centropus sinensis","Omnivore","Active","Small mammals",""
"212","Southern Coucal","Centropus sinensis","Omnivore","Active","Small reptiles",""
"213","Southern Coucal","Centropus sinensis","Omnivore","Active","Anurans",""
"214","Southern Coucal","Centropus sinensis","Omnivore","Active","Insects",""
"215","Southern Coucal","Centropus sinensis","Omnivore","Active","Arthropods",""
"216","Southern Coucal","Centropus sinensis","Omnivore","Active","Spiders",""
"217","Southern Coucal","Centropus sinensis","Omnivore","Active","Scorpions",""
"218","Southern Coucal","Centropus sinensis","Omnivore","Active","Crustaeceans",""
"219","Southern Coucal","Centropus sinensis","Omnivore","Active","Molluscs",""
"220","Southern Coucal","Centropus sinensis","Omnivore","Active","Bird eggs",""
"221","Southern Coucal","Centropus sinensis","Omnivore","Active","Birds",""
"222","Southern Coucal","Centropus sinensis","Omnivore","Active","Fruits",""
"223","Southern Coucal","Centropus sinensis","Omnivore","Active","Seeds",""
"224","Jungle Bush Quail","Perdicula asiatica","Grainivore","Grazer","Seeds",""
"225","Jungle Bush Quail","Perdicula asiatica","Grainivore","Grazer","Insects",""
"226","Coppersmith Barbet","Psilopogon haemacephalus","Frugivore","Browser","Fruits",""
"227","Coppersmith Barbet","Psilopogon haemacephalus","Frugivore","Browser","Insects",""
"228","Black Bulbul","Hypsipetes leucocephalus","Frugivore","Browser","Fruits",""
"229","Black Bulbul","Hypsipetes leucocephalus","Frugivore","Browser","Nectar",""
"230","Black Bulbul","Hypsipetes leucocephalus","Frugivore","Browser","Insects",""
"231","Jungle Myna","Acridotheres fuscus","Omnivore","Active","Insects",""
"232","Jungle Myna","Acridotheres fuscus","Omnivore","Active","Fruits",""
"233","Jungle Myna","Acridotheres fuscus","Omnivore","Active","Seeds",""
"234","Jungle Myna","Acridotheres fuscus","Omnivore","Active","Nectar",""
"235","Spotted Babler","Pellorneum ruficeps","Insectivore","Active","Insects",""
"236","Rose finch","Carpodacus erythrinus","Frugivore","Browser","Seeds",""
"237","Rose finch","Carpodacus erythrinus","Frugivore","Browser","Fruits",""
"238","Rose finch","Carpodacus erythrinus","Frugivore","Browser","Plants",""
"239","Rose finch","Carpodacus erythrinus","Frugivore","Browser","Nectar",""
"240","Rose finch","Carpodacus erythrinus","Frugivore","Browser","Insects",""
