Common Name,Family,Specific Epithet,Hostplant Family,Hostplant Name,Country,Source
Common Evening Brown,Nymphalidae,Melanitis leda,Gramineae,Oryza sativa,India,HOSTS
Common Evening Brown,Nymphalidae,Melanitis leda,Gramineae,Panicum repens,India,HOSTS
Common Evening Brown,Nymphalidae,Melanitis leda,Gramineae,Pennisetum,India,HOSTS
Common Evening Brown,Nymphalidae,Melanitis leda,Gramineae,Pennisetum americanum,India,HOSTS
Common Evening Brown,Nymphalidae,Melanitis leda,Gramineae,Pennisetum americanum,India,HOSTS
Common Evening Brown,Nymphalidae,Melanitis leda,Gramineae,Pennisetum purpureum,India,HOSTS
Common Evening Brown,Nymphalidae,Melanitis leda,Gramineae,Saccharum officinarum,India,HOSTS
Common Evening Brown,Nymphalidae,Melanitis leda,Gramineae,Zea mays,India,HOSTS
Common Four Ring,Nymphalidae,Ypthima huebneri,Gramineae,,India,HOSTS
Common Four Ring,Nymphalidae,Ypthima huebneri,Gramineae,,India,HOSTS
Common Four Ring,Nymphalidae,Ypthima huebneri,Gramineae,,West Malaysia,HOSTS
Common Four Ring,Nymphalidae,Ypthima huebneri,Gramineae,Avena sativa,Southern Africa,HOSTS
Common Four Ring,Nymphalidae,Ypthima huebneri,Gramineae,Ehrharta erecta,Southern Africa,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Asclepias curassavica,Hong Kong,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Asclepias curassavica,Indo-Australian,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Asclepias curassavica,Taiwan,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Calotropis gigantea,Andaman Islands,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Ceropegia intermedia,Indo-Australian,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Cynanchum boudieri,Taiwan,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Cynanchum boudieri,Taiwan,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Cynanchum dalhousiae,Indo-Australian,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Cynanchum formosanum,Taiwan,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Cynanchum lanhsuense,Taiwan,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Cynanchum liukiuense,Indo-Australian,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Graphistemma pictum,Hong Kong,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Graphistemma pictum,Indo-Australian,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Gymnema,Indo-Australian,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Marsdenia formosana,Taiwan,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Marsdenia tinctoria,Indo-Australian,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Marsdenia tomentosa,Indo-Australian,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Oxystelma pulchellum,Indo-Australian,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Oxystelma pulchellum,West Malaysia,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Raphistemma lemma,Indo-Australian,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Stephanotis floribunda,Indo-Australian,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Telosma cordata,Indo-Australian,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Tylophora cissoides,Indo-Australian,HOSTS
Striped Tiger,Nymphalidae,Danaus genutia,Asclepiadaceae,Vincetoxicum tanakae,Indo-Australian,HOSTS
One Spot Grass Yellow,Pieridae,Eurema andersoni,Leguminosae (c),Cassia garrettiana,Thailand,HOSTS
One Spot Grass Yellow,Pieridae,Eurema andersoni,Leguminosae (c),Cassia surattensis,Thailand,HOSTS
One Spot Grass Yellow,Pieridae,Eurema andersoni,Leguminosae (c),Senna bicapsularis,Thailand,HOSTS
One Spot Grass Yellow,Pieridae,Eurema andersoni,Rhamnaceae,Ventilago elegans,Taiwan,HOSTS
One Spot Grass Yellow,Pieridae,Eurema andersoni,Rhamnaceae,Ventilago leiocarpa,Taiwan,HOSTS
Common Bushbrown,Nymphalidae,Mycalesis perseus,Gramineae,,India,HOSTS
Common Bushbrown,Nymphalidae,Mycalesis perseus,Gramineae,Axonopus compressus,Philippines,HOSTS
Common Bushbrown,Nymphalidae,Mycalesis perseus,Gramineae,Digitaria ciliaris,Japan,HOSTS
Common Bushbrown,Nymphalidae,Mycalesis perseus,Gramineae,Imperata cylindrica,Indonesia,HOSTS
Common Bushbrown,Nymphalidae,Mycalesis perseus,Gramineae,Imperata cylindrica,Japan,HOSTS
Common Bushbrown,Nymphalidae,Mycalesis perseus,Gramineae,Imperata cylindrica,Java,HOSTS
Common Bushbrown,Nymphalidae,Mycalesis perseus,Gramineae,Oplismenus compositus,Philippines,HOSTS
Common Bushbrown,Nymphalidae,Mycalesis perseus,Gramineae,Oryza sativa,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Malvaceae,Althaea,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Boraginaceae,Anchusa,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Compositae,Arctotis,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Papaveraceae,Argemone mexicana,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Leguminosae (p),Argyrolobium,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Compositae,Artemisia,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Compositae,Artemisia vulgaris,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Compositae,Berkheya,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Compositae,Blumea,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Compositae,Blumea alata,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Urticaceae,Boehmeria,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Compositae,Carduus,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Compositae,Chrysanthemum,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Compositae,Cirsium,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Compositae,Cirsium arvense,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Compositae,Cynara scolymus,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Boraginaceae,Cynoglossum,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Urticaceae,Debregeasia bicolor,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Leguminosae (p),Dolichos,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Boraginaceae,Echium,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Compositae,Filago,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Urticaceae,Girardinia,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Leguminosae (p),Glycine,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Compositae,Helichrysum,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Leguminosae (p),Lablab purpureus,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Urticaceae,Laportea,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Leguminosae (p),Lupinus,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Compositae,Madia,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Malvaceae,Malva,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Compositae,Pentzia,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Leguminosae (p),Phaseolus,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Compositae,Senecio,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Compositae,Sonchus,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Urticaceae,Urtica,India,HOSTS
Painted Lady,Nymphalidae,Vanessa cardui,Leguminosae (p),Zornia diphylla,India,HOSTS
Chestnut Bob,Hesperiidae,Iambrix salsala,Gramineae,,India,HOSTS
Chestnut Bob,Hesperiidae,Iambrix salsala,Gramineae,,India,HOSTS
Chestnut Bob,Hesperiidae,Iambrix salsala,Gramineae,,West Malaysia,HOSTS
Chestnut Bob,Hesperiidae,Iambrix salsala,Gramineae,,West Malaysia,HOSTS
Dark Cerulean,Lycaenidae,Jamides bochus,Leguminosae (p),Butea monosperma,India,HOSTS
Dark Cerulean,Lycaenidae,Jamides bochus,Leguminosae (p),Butea monosperma,India,HOSTS
Dark Cerulean,Lycaenidae,Jamides bochus,Leguminosae (c),Caesalpinia,India,HOSTS
Dark Cerulean,Lycaenidae,Jamides bochus,Leguminosae (p),Crotalaria,India,HOSTS
Dark Cerulean,Lycaenidae,Jamides bochus,Leguminosae (p),Tephrosia candida,India,HOSTS
Dark Cerulean,Lycaenidae,Jamides bochus,Leguminosae (m),Xylia xylocarpa,India,HOSTS
Three Spot Grass Yellow,Pieridae,Eurema blanda,Leguminosae (c),Acrocarpus fraxinifolius,India,HOSTS
Three Spot Grass Yellow,Pieridae,Eurema blanda,Leguminosae (m),Albizia,India,HOSTS
Three Spot Grass Yellow,Pieridae,Eurema blanda,Leguminosae (m),Albizia chinensis,India,HOSTS
Three Spot Grass Yellow,Pieridae,Eurema blanda,Leguminosae (m),Albizia falcataria,India,HOSTS
Three Spot Grass Yellow,Pieridae,Eurema blanda,Leguminosae (m),Albizia lebbeck,India,HOSTS
Three Spot Grass Yellow,Pieridae,Eurema blanda,Leguminosae (c),Caesalpinia regia,India,HOSTS
Three Spot Grass Yellow,Pieridae,Eurema blanda,Theaceae,Camellia sinensis,India,HOSTS
Three Spot Grass Yellow,Pieridae,Eurema blanda,Leguminosae (c),Cassia,India,HOSTS
Three Spot Grass Yellow,Pieridae,Eurema blanda,Leguminosae (c),Cassia,India,HOSTS
Three Spot Grass Yellow,Pieridae,Eurema blanda,Leguminosae (c),Cassia,India,HOSTS
Three Spot Grass Yellow,Pieridae,Eurema blanda,Leguminosae (c),Cassia nodosa,India,HOSTS
Three Spot Grass Yellow,Pieridae,Eurema blanda,Leguminosae (c),Delonix regia,India,HOSTS
Three Spot Grass Yellow,Pieridae,Eurema blanda,Leguminosae (c),Delonix regia,India,HOSTS
Three Spot Grass Yellow,Pieridae,Eurema blanda,Leguminosae (p),Gliricidia sepium,India,HOSTS
Three Spot Grass Yellow,Pieridae,Eurema blanda,Leguminosae (c),Moullava spicata,India,HOSTS
Three Spot Grass Yellow,Pieridae,Eurema blanda,Leguminosae (c),Moullava spicata,India,HOSTS
Three Spot Grass Yellow,Pieridae,Eurema blanda,Leguminosae (c),Moullava spicata,India,HOSTS
Three Spot Grass Yellow,Pieridae,Eurema blanda,Leguminosae (p),Sesbania,India,HOSTS
Three Spot Grass Yellow,Pieridae,Eurema blanda,Leguminosae (p),Sesbania bispinosa,India,HOSTS
Three Spot Grass Yellow,Pieridae,Eurema blanda,Leguminosae (m),Xylia xylocarpa,India,HOSTS
Tailed Jay,Papilionidae,Graphium agamemnon,Magnoliaceae,,India,HOSTS
Tailed Jay,Papilionidae,Graphium agamemnon,Annonaceae,,India,HOSTS
Tailed Jay,Papilionidae,Graphium agamemnon,Magnoliaceae,,India,HOSTS
Tailed Jay,Papilionidae,Graphium agamemnon,Annonaceae,Annona reticulata,India,HOSTS
Tailed Jay,Papilionidae,Graphium agamemnon,Annonaceae,Annona squamosa,India,HOSTS
Tailed Jay,Papilionidae,Graphium agamemnon,Lauraceae,Cinnamomum,India,HOSTS
Tailed Jay,Papilionidae,Graphium agamemnon,Annonaceae,Desmos chinensis,India,HOSTS
Tailed Jay,Papilionidae,Graphium agamemnon,Annonaceae,Guatteria,India,HOSTS
Tailed Jay,Papilionidae,Graphium agamemnon,Magnoliaceae,Michelia,India,HOSTS
Tailed Jay,Papilionidae,Graphium agamemnon,Magnoliaceae,Michelia champaca,India,HOSTS
Tailed Jay,Papilionidae,Graphium agamemnon,Annonaceae,Miliusa,India,HOSTS
Tailed Jay,Papilionidae,Graphium agamemnon,Annonaceae,Miliusa tomentosa,India,HOSTS
Tailed Jay,Papilionidae,Graphium agamemnon,Annonaceae,Polyalthia,India,HOSTS
Tailed Jay,Papilionidae,Graphium agamemnon,Annonaceae,Uvaria microcarpa,India,HOSTS
Common Treebrown,Nymphalidae,Lethe rohria,Gramineae,,India,HOSTS
Common Treebrown,Nymphalidae,Lethe rohria,Gramineae,Apluda mutica,Hong Kong,HOSTS
Common Treebrown,Nymphalidae,Lethe rohria,Gramineae,Bambusa,Hong Kong,HOSTS
Common Treebrown,Nymphalidae,Lethe rohria,Gramineae,Brachiaria mutica,Taiwan,HOSTS
Common Treebrown,Nymphalidae,Lethe rohria,Gramineae,Capillipedium parviflorum,Hong Kong,HOSTS
Common Treebrown,Nymphalidae,Lethe rohria,Gramineae,Imperata cylindrica,Taiwan,HOSTS
Common Treebrown,Nymphalidae,Lethe rohria,Gramineae,Microstegium ciliatum,Hong Kong,HOSTS
Common Treebrown,Nymphalidae,Lethe rohria,Gramineae,Miscanthus flavidus,Taiwan,HOSTS
Common Treebrown,Nymphalidae,Lethe rohria,Gramineae,Miscanthus sinensis,Taiwan,HOSTS
Monkey Puzzle,Lycaenidae,Rathinda amor,Dipterocarpaceae,,Oriental,HOSTS
Monkey Puzzle,Lycaenidae,Rathinda amor,Euphorbiaceae,,Oriental,HOSTS
Monkey Puzzle,Lycaenidae,Rathinda amor,Loranthaceae,,Oriental,HOSTS
Monkey Puzzle,Lycaenidae,Rathinda amor,Myrtaceae,,Oriental,HOSTS
Monkey Puzzle,Lycaenidae,Rathinda amor,Rubiaceae,,Oriental,HOSTS
Monkey Puzzle,Lycaenidae,Rathinda amor,Sapindaceae,,Oriental,HOSTS
Monkey Puzzle,Lycaenidae,Rathinda amor,Styracaceae,,Oriental,HOSTS
Monkey Puzzle,Lycaenidae,Rathinda amor,Myrtaceae,Eugenia zeylanica,India,HOSTS
Monkey Puzzle,Lycaenidae,Rathinda amor,Dipterocarpaceae,Hopea,India,HOSTS
Monkey Puzzle,Lycaenidae,Rathinda amor,Dipterocarpaceae,Hopea,India,HOSTS
Monkey Puzzle,Lycaenidae,Rathinda amor,Rubiaceae,Ixora,India,HOSTS
Monkey Puzzle,Lycaenidae,Rathinda amor,Rubiaceae,Ixora coccinea,India,HOSTS
Monkey Puzzle,Lycaenidae,Rathinda amor,Sapindaceae,Litchi chinensis,India,HOSTS
Monkey Puzzle,Lycaenidae,Rathinda amor,Anacardiaceae,Mangifera indica,India,HOSTS
Small Branded Swift,Hesperiidae,Pelopidas mathias,Gramineae,,India,HOSTS
Small Branded Swift,Hesperiidae,Pelopidas mathias,Gramineae,,India,HOSTS
Small Branded Swift,Hesperiidae,Pelopidas mathias,Palmae,,India,HOSTS
Small Branded Swift,Hesperiidae,Pelopidas mathias,Gramineae,Andropogon sorghum,India,HOSTS
Small Branded Swift,Hesperiidae,Pelopidas mathias,Leguminosae (p),Crotalaria juncea,India,HOSTS
Small Branded Swift,Hesperiidae,Pelopidas mathias,Gramineae,Oryza,India,HOSTS
Small Branded Swift,Hesperiidae,Pelopidas mathias,Gramineae,Oryza sativa,India,HOSTS
Small Branded Swift,Hesperiidae,Pelopidas mathias,Gramineae,Oryza sativa,India,HOSTS
Small Branded Swift,Hesperiidae,Pelopidas mathias,Gramineae,Saccharum,India,HOSTS
Small Branded Swift,Hesperiidae,Pelopidas mathias,Gramineae,Sorghum bicolor,India,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Asclepiadaceae,,East Africa,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Asclepiadaceae,Asclepias,India,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Asclepiadaceae,Asclepias,Oriental,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Asclepiadaceae,Calotropis,India,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Asclepiadaceae,Calotropis,India,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Asclepiadaceae,Calotropis,Oriental,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Menispermaceae,Cocculus,Oriental,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Leguminosae (p),Crotalaria retusa ?,Oriental,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Asclepiadaceae,Dregea volubilis,Hong Kong,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Asclepiadaceae,Dregea volubilis,India,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Asclepiadaceae,Dregea volubilis,Oriental,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Asclepiadaceae,Dregea volubilis,Taiwan,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Asclepiadaceae,Heterostemma brownii,Taiwan,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Asclepiadaceae,Heterostemma cuspidatum,Oriental,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Apocynaceae,Holarrhena antidysenterica,India,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Asclepiadaceae,Hoya,East Africa,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Asclepiadaceae,Hoya,Oriental,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Asclepiadaceae,Hoya viridiflora,Oriental,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Asclepiadaceae,Marsdenia tenacissima,Oriental,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Asclepiadaceae,Pergularia,East Africa,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Gramineae,Saccharum,India,HOSTS
Blue Tiger,Nymphalidae,Tirumala limniace,Gramineae,Saccharum officinarum,India,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,,India,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Liliaceae,,India,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,Alpinia formosana,Taiwan,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,Alpinia intermedia,Taiwan,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,Alpinia zerumbet,Taiwan,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,Curcuma,Thailand,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,Curcuma,West Malaysia,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,Curcuma aromatica,Oriental,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,Curcuma decipiens,India,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,Curcuma longa,India,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,Curcuma longa,India,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,Curcuma longa,Oriental,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,Curcuma longa,West Malaysia,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,Etlingera imperialis,West Malaysia,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Loganiaceae,Fagraea racemosa,India,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Loganiaceae,Fagraea racemosa,West Malaysia,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,Hedychium coronarium,Hong Kong,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Gramineae,Oryza,India,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,Zingiber,West Malaysia,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,Zingiber officinale,Hong Kong,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,Zingiber officinale,India,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,Zingiber officinale,India,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,Zingiber officinale,India,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,Zingiber officinale,Oriental,HOSTS
Grass Demon,Hesperiidae,Udaspes folus,Zingiberaceae,Zingiber officinale,West Malaysia,HOSTS
Common Jessabelle,Pieridae,Delias eucharis,Loaranthaceae,,,IFB
Common Jessabelle,Pieridae,Delias eucharis,Santalaceae,,,IFB
Common Jessabelle,Pieridae,Delias eucharis,Malvaceae,,,IFB
Common Wanderer,Pieridae,Pareronia ceylanica,Capparaceae,Capparis,Andaman Islands,HOSTS
Common Wanderer,Pieridae,Pareronia ceylanica,Capparaceae,Capparis heydeana,India,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Leguminosae,,Oriental,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Meliaceae,,Oriental,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Leguminosae,,West Malaysia,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Leguminosae (p),Abrus precatorius,Andaman Islands,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Leguminosae (p),Abrus precatorius,India,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Leguminosae (p),Butea monosperma,India,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Leguminosae (p),Butea monosperma,India,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Leguminosae (p),Dolichos rhombifolius,Taiwan,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Marantaceae,Donax canniformis,Andaman Islands,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Zingiberaceae,Elettaria cardamomum,India,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Meliaceae,Melia,Hong Kong,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Leguminosae (p),Mucuna pruriens,Andaman Islands,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Leguminosae (p),Pongamia pinnata,India,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Leguminosae (p),Pueraria phaseoloides,Andaman Islands,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Leguminosae (p),Pueraria phaseoloides,West Malaysia,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Leguminosae (c),Saraca thaipingensis,West Malaysia,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Sterculiaceae,Theobroma cacao,Indo-Australian,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Meliaceae,Trichilia hirta,India,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Meliaceae,Trichilia hirta,West Malaysia,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Meliaceae,Trichilia trijuga,India,HOSTS
Common Cerulean,Lycaenidae,Jamides celeno,Leguminosae (p),Vigna luteola,Taiwan,HOSTS
Tawny Coaster,Nymphalidae,Acraea terpsicore,Passifloraceae,Adenia,Afrotropical,HOSTS
Tawny Coaster,Nymphalidae,Acraea terpsicore,Tiliaceae,Corchorus,Afrotropical,HOSTS
Tawny Coaster,Nymphalidae,Acraea terpsicore,Malvaceae,Hibiscus,Afrotropical,HOSTS
Tawny Coaster,Nymphalidae,Acraea terpsicore,Convolvulaceae,Ipomoea batatas,Afrotropical,HOSTS
Tawny Coaster,Nymphalidae,Acraea terpsicore,Passifloraceae,Passiflora,Afrotropical,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Verbenaceae,,Afrotropical,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Zygophyllaceae,,Afrotropical,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Acanthaceae,,Afrotropical,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Leguminosae,,India,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Gramineae,,India,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Leguminosae,,Oriental,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Oxalidaceae,,Palaearctic,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Acanthaceae,Blechum pyramidatum,Taiwan,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Acanthaceae,Chaetacanthus,Afrotropical,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Acanthaceae,Dicliptera chinensis,Taiwan,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Acanthaceae,Dyschoriste,Afrotropical,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Acanthaceae,Dyschoriste repens,Taiwan,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Acanthaceae,Justicia,Afrotropical,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Verbenaceae,Lantana,Afrotropical,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Verbenaceae,Lantana,India,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Verbenaceae,Lantana camara,Taiwan,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Leguminosae (m),Mimosa pudica,West Malaysia,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Oxalidaceae,Oxalis,Afrotropical,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Oxalidaceae,Oxalis,East Africa,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Oxalidaceae,Oxalis corniculata,East Africa,HOSTS
Tiny Grass Blue,Lycaenidae,Zizula hylax,Oxalidaceae,Oxalis corniculata,Southern Africa,HOSTS
